manufacturer,model,aliases,category,likely_valuable_components,component_type,confidence_level,desirability_score,maximum_worthwhile_delivered_price_gbp,ideal_fault_types,risky_fault_types,salvage_difficulty,package_or_removal_notes,source_or_verification_note,general_comments
Creative,Sound Blaster Audigy 2 ZS Platinum Pro SB0360,SB0360|Audigy 2 ZS Platinum Pro,PCI sound card,Multichannel DAC/ADC; external I/O box converters; op-amps; DSP,standalone DAC|ADC|op-amp|DSP,probable,72,50,driver issue; missing software; cosmetic damage; working card with missing accessories,missing external box; no audio; liquid damage,medium,Value depends heavily on whether the external I/O unit is included.,Manufacturer manual/service documentation; verify board revision before purchase,External box can contain additional useful analogue circuitry.
Creative,Sound Blaster Audigy 2 ZS SB0350,SB0350|Audigy2 ZS|Audigy 2 ZS,PCI sound card,Cirrus Logic multichannel DAC; ADC/codec; audio op-amps; Creative DSP,standalone DAC|ADC|op-amp|DSP,probable,68,35,driver issue; untested; missing bracket; cosmetic damage,no audio; burnt power section; corrosion; parts removed,medium,Fine-pitch surface-mount converters; inspect exact board revision and package markings.,Manufacturer manual/service documentation; verify board revision before purchase,Common and cheap; useful primarily as a multichannel converter/op-amp donor.
Creative,Sound Blaster X-Fi Elite Pro SB0550,SB0550|X-Fi Elite Pro|XFi Elite Pro,PCI sound card,High-grade stereo DAC in external console; ADC; op-amps; CA20K1 DSP,standalone DAC|ADC|op-amp|DSP,probable,78,70,driver issue; cosmetic damage; missing remote; powers on,missing console; no audio; water damage,hard,Inspect both card and external console; useful parts are split across assemblies.,Manufacturer manual/service documentation; verify board revision before purchase,Only attractive when the external console is present.
Creative,Sound Blaster X-Fi Fatal1ty FPS SB0460,SB0460|X-Fi Fatal1ty|XFi Fatality,PCI sound card,Multichannel DAC; ADC/codec; op-amps; CA20K1 DSP,standalone DAC|ADC|op-amp|DSP,probable,62,35,driver issue; untested; cosmetic damage,no output; burnt card; missing ICs,medium,Converter complement varies by model/revision; verify board photos.,Manufacturer manual/service documentation; verify board revision before purchase,Do not overpay; better as a cheap parts card.
Creative,Sound Blaster X-Fi XtremeMusic SB0460,X-Fi XtremeMusic|XFi Xtreme Music|SB0460,PCI sound card,Multichannel DAC; ADC/codec; audio op-amps; CA20K1 DSP,standalone DAC|ADC|op-amp|DSP,probable,60,30,driver issue; untested; missing bracket,no audio; corrosion; burnt board,medium,Check model sticker because Creative reused family names confusingly.,Manufacturer manual/service documentation; verify board revision before purchase,A modest donor unless nearly free.
E-MU,0404 PCI,EMU 0404|E MU 0404,PCI sound card,AKM converter ICs probable; op-amps; clock parts,ADC|standalone DAC|op-amp,probable,70,55,driver issue; untested; missing software,burnt board; corrosion; missing jack plate,medium,Good analogue-stage donor; SMD removal,Widely documented studio card; verify chip markings for exact converter,Often cheap due driver support.
E-MU,1212M PCI,EMU 1212M|E MU 1212M,PCI sound card,high-grade ADC/DAC daughtercard; op-amps; DSP,ADC|standalone DAC|op-amp|DSP,probable,78,80,driver issue; missing cable; untested,missing daughtercard; burnt board; corrosion,medium,Only worthwhile if both cards present unless buying for parts,Model known for higher-grade converters; verify daughtercard photos,May be worth more intact to recording users.
E-MU,1616M PCI,EMU 1616M|E MU 1616M,PCI sound card,high-grade ADC/DAC in MicroDock; op-amps; DSP,ADC|standalone DAC|op-amp|DSP,probable,80,90,missing PSU; driver issue; noisy jack; untested,missing MicroDock; burnt dock board; liquid damage,hard,Dock disassembly; many SMD analogue parts,Model known for premium converter spec; verify internal dock photos,Complete sets can sell for intact use.
ESI,ESP1010,ESP 1010|ESI ESP-1010,PCI sound card,Eight-channel ADC/DAC; breakout-rack op-amps; balanced drivers/receivers,ADC|standalone DAC|op-amp|balanced line driver,probable,72,70,driver issue; missing cable; cosmetic damage,missing rack unit; no audio; liquid damage,hard,Card without rack box has limited salvage value.,https://www.soundonsound.com/,Strong quantity donor when complete.
ESI,Juli@,ESI Julia|Juliat|ESI Juli,PCI sound card,AKM stereo ADC/DAC; balanced line op-amps; clock circuitry; Envy24HT-S,ADC|standalone DAC|op-amp|DSP,confirmed,78,65,driver issue; untested; missing breakout section,no input and output; corrosion; snapped reversible I/O board,medium,Reversible analogue daughterboard is mechanically useful.,https://www.soundonsound.com/,Very practical donor for balanced analogue circuitry.
ESI,Maya44,Maya 44|ESI MAYA44 PCI,PCI sound card,Multichannel ADC/DAC codec; op-amps; clock parts,combined codec|ADC|op-amp,probable,58,30,driver issue; untested; cosmetic damage,no audio; corrosion; missing components,easy,Mostly modest converters; worth buying only cheaply.,Manufacturer manual/service documentation; verify board revision before purchase,Useful general-purpose donor rather than a prestige DAC source.
Hercules,Gamesurround Fortissimo IV,Fortissimo 4|Gamesurround IV,PCI sound card,Wolfson multichannel DAC/codec; op-amps; C-Media controller,combined codec|op-amp|DSP,probable,52,20,driver issue; untested,no sound; corrosion,easy,Modest-value donor.,Manufacturer manual/service documentation; verify board revision before purchase,"Include for job-lot recognition, not as a priority target."
HT Omega,Claro Halo,Claro Halo PCI,PCI sound card,C-Media Oxygen HD processor; op-amps; DAC stage,standalone DAC|op-amp|DSP,probable,72,70,driver issue; untested; missing box,burnt board; missing op-amps; corrosion,medium,Check op-amp sockets and headphone amp area,Product family uses replaceable op-amps; exact DAC should be verified,Less common in UK but worth watching.
HT Omega,Claro Plus+,Claro Plus|Claro+,PCI sound card,C-Media Oxygen HD; premium multichannel DAC stage; socketed op-amps,standalone DAC|op-amp|DSP,probable,74,65,driver issue; untested; missing bracket,no output; missing op-amps; corrosion,medium,Verify exact Plus/Halo variant.,Manufacturer manual/service documentation; verify board revision before purchase,Good op-amp and DAC donor when found cheaply.
Lynx,L22,LynxTwo L22|Lynx L22,PCI sound card,high-grade ADC/DAC; balanced line op-amps; clocking,ADC|standalone DAC|op-amp,probable,86,160,driver issue; missing breakout; untested,burnt board; water damage; missing daughter parts,medium,High intact value; verify photo before bidding,Professional interface reputation; exact chips require board verification,Usually worth more intact.
M-Audio,Audiophile 192,AP192|M Audio Audiophile 192,PCI sound card,AKM stereo ADC/DAC; balanced op-amps; Envy24HT controller,ADC|standalone DAC|op-amp|DSP,probable,70,45,driver issue; untested; missing breakout cable,no audio; corrosion; parts removed,medium,Breakout cable is useful but not essential for IC salvage.,Manufacturer manual/service documentation; verify board revision before purchase,A better analogue donor than many consumer cards.
M-Audio,Audiophile 2496,Delta Audiophile 2496|M Audio 2496,PCI sound card,AKM-class ADC/DAC likely; op-amps; crystal oscillator,ADC|standalone DAC|op-amp,probable,62,45,driver issue; untested; missing breakout cable,burnt board; corrosion; snapped RCA; missing main PCB,medium,Older SMD parts; RCA jacks reusable,Popular PCI interface; exact converter chips should be verified from board photos,Common cheap studio card.
M-Audio,Delta 1010,Delta1010|M Audio 1010 rack,PCI sound card,Multiple AKM ADC/DAC channels; rack-unit op-amps; balanced line drivers; linear power parts,ADC|standalone DAC|op-amp|balanced line driver,probable,80,90,driver issue; display/LED fault; missing software,missing rack unit; damaged umbilical; no analogue audio,hard,Excellent quantity donor only when rack interface and cable are included.,Manufacturer manual/service documentation; verify board revision before purchase,Far more interesting than the 1010LT as a physical donor.
M-Audio,Delta 1010LT,1010 LT|Delta1010LT,PCI sound card,multiple ADC/DAC channels; op-amps; breakout cable parts,ADC|standalone DAC|op-amp,probable,64,55,missing breakout loom; untested; driver issue,burnt board; missing loom if you wanted intact use; water damage,medium,Lots of analogue stages; cable salvage possible,Model-specific converter chips vary in online reports; verify board photos,Good job-lot donor when cables are missing.
M-Audio,Delta 44,Delta44|M Audio Delta 44,PCI sound card,AKM AK4524-class stereo ADC/DAC codecs; breakout-box op-amps; clock parts,combined codec|ADC|op-amp,confirmed,64,45,driver issue; untested; missing software,missing breakout box; no audio; corrosion,medium,Most useful analogue parts are in the breakout box.,Manufacturer manual/service documentation; verify board revision before purchase,"Good ADC/DAC learning donor, not a flagship DAC."
M-Audio,Delta 66,Delta66|M Audio Delta 66,PCI sound card,AKM AK4524-class ADC/DAC codecs; S/PDIF circuitry; breakout-box op-amps,combined codec|ADC|op-amp|digital audio interface,confirmed,66,50,driver issue; untested; cosmetic damage,missing breakout box; no output; corrosion,medium,Check that proprietary breakout cable/box is included.,Manufacturer manual/service documentation; verify board revision before purchase,Similar salvage value to Delta 44 with added digital I/O.
M-Audio,Revolution 7.1,Revolution7.1|M Audio Revolution,PCI sound card,AKM multichannel DAC; ADC; op-amps; Envy24HT controller,standalone DAC|ADC|op-amp|DSP,probable,66,35,driver issue; untested; cosmetic damage,no analogue output; corrosion,medium,Verify converter markings by board revision.,Manufacturer manual/service documentation; verify board revision before purchase,"Cheap and useful, but not worth chasing hard."
Onkyo,Wavio SE-200PCI,SE200PCI|SE-200 PCI|Wavio 200PCI,PCI sound card,Wolfson WM8740-class stereo DAC stage; multichannel DAC; premium op-amps; Envy24 controller,standalone DAC|op-amp|DSP,probable,86,90,driver issue; untested; cosmetic damage,no front-channel audio; corrosion; missing op-amps,medium,Japanese-market board; inspect photos for exact revision and DAC population.,Manufacturer manual/service documentation; verify board revision before purchase,A genuinely interesting but uncommon sound-card donor.
Onkyo,Wavio SE-200PCI LTD,SE200PCI LTD|SE-200PCI Limited|Wavio LTD,PCI sound card,Premium Wolfson DAC implementation; high-grade op-amps; local regulation,standalone DAC|op-amp|DSP,probable,91,120,driver issue; untested; cosmetic damage,no analogue output; parts removed; corrosion,medium,Often valuable intact; verify LTD marking.,Manufacturer manual/service documentation; verify board revision before purchase,Excellent implementation reference; do not confuse with ordinary SE-200PCI.
Razer,Barracuda AC-1,AC1|Barracuda Sound Card,PCI sound card,C-Media Oxygen HD; multichannel DACs; analogue op-amps,standalone DAC|op-amp|DSP,probable,64,40,driver issue; untested; missing breakout cable,no output; corrosion,medium,Proprietary breakout cable may be absent.,Manufacturer manual/service documentation; verify board revision before purchase,Worth recognising in mixed PC-parts lots.
RME,Digi96/8 PAD,Digi96 PAD|Hammerfall PAD,PCI sound card,ADC/DAC; clocking parts; balanced analogue stage,ADC|standalone DAC|op-amp,probable,75,90,driver issue; untested; old Mac/PC card,burnt board; missing breakout; corrosion,medium,May be worth more intact to legacy studio users,RME model has pro converter stage; exact ICs must be verified,Do not strip a working complete card cheaply.
RME,HDSP 9632,Hammerfall HDSP9632|HDSP9632,PCI sound card,ADC/DAC; clocking; op-amps,ADC|standalone DAC|op-amp,probable,85,150,driver issue; missing breakout; untested,burnt board; missing main PCB; water damage,medium,High intact value; salvage only severe accessory faults,RME pro card; exact chips vary; verify board photos,Usually worth more intact.
Terratec,DMX 6Fire 24/96,DMX6Fire|6Fire 2496|TerraTec 6 Fire,PCI sound card,AKM converter ICs; breakout-box ADC/DAC; op-amps; phono-stage parts,ADC|standalone DAC|op-amp|DSP,probable,74,65,driver issue; cosmetic damage; missing software,missing front bay; no audio; liquid damage,hard,Front-bay module contains much of the useful analogue circuitry.,Manufacturer manual/service documentation; verify board revision before purchase,Complete sets are particularly useful.
Terratec,EWX 24/96,EWX2496|TerraTec EWX,PCI sound card,AKM AK4524-class ADC/DAC; op-amps; Envy24 controller,combined codec|ADC|op-amp|DSP,probable,68,45,driver issue; untested; missing bracket,no analogue I/O; corrosion,medium,Older but straightforward board.,Manufacturer manual/service documentation; verify board revision before purchase,Worth including because sellers often list it vaguely.
ASUS,Xonar D2X,D2X PCIe|XonarD2X|ASUS D2X,PCIe sound card,Burr-Brown PCM1796 DACs probable same D2 family; op-amps; AV processor,standalone DAC|op-amp|DSP,probable,84,90,missing power adapter; untested; driver issue,burnt auxiliary power area; missing main PCB; corrosion,medium,Check auxiliary power connector area; SMD removal,ASUS D2/D2X family documentation and D2 reviews; verify D2X board photos,PCIe version can be priced higher than D2.
ASUS,Xonar DSX,DSX PCIe|XonarDSX,PCIe sound card,audio codec/DAC; swappable op-amp on some boards,combined codec|op-amp,probable,55,35,driver issue; untested; missing bracket,burnt board; missing op-amp; liquid damage,easy,Check socket before buying,Common board photos; verify exact revision,Often low-value intact.
ASUS,Xonar DX,DX PCIe|XonarDX,PCIe sound card,multichannel audio codec/DAC; op-amps probable,combined codec|op-amp,probable,55,35,driver issue; untested; missing low-profile bracket,burnt board; corrosion; missing components,easy,Lower-value SMD parts; mostly board-level donor,Board photos and product class; exact IC varies by revision,Cheap common card; not high priority.
ASUS,Xonar Essence STX,Essence STX|Xonar STX|Essance STX|Sonar STX,PCIe sound card,TI/Burr-Brown PCM1792A DAC; swappable op-amps; headphone amplifier parts,standalone DAC|op-amp,confirmed,96,150,driver issue; missing box; noisy headphone output; untested,missing op-amps; burnt board; lightning damage; water damage,medium,Socketed op-amps easy; SMD DAC needs hot air,diyAudio and many board photos identify PCM1792A; verify revision,Usually worth more intact if fully working.
ASUS,Xonar Essence STX II,STX II|Essence STX2|Xonar STX2,PCIe sound card,PCM1792-family DAC; swappable op-amps; headphone amp parts,standalone DAC|op-amp,probable,94,160,driver issue; missing op-amp kit; untested,missing op-amps; burnt board; water damage,medium,Socketed op-amps; verify exact chip markings,Review/spec sources describe PCM1792/Essence architecture; verify board photos,Often too valuable intact; salvage only if faulty and cheap.
Auzentech,X-Fi Forte 7.1,XFi Forte|X-Fi Forte,PCIe sound card,High-grade front-channel DAC; replaceable op-amp; headphone amplifier; Creative DSP,standalone DAC|op-amp|headphone amplifier|DSP,probable,78,70,driver issue; cosmetic damage; untested,no front output; missing op-amp; burnt power section,hard,Compact dense PCB; inspect for heat damage.,Manufacturer manual/service documentation; verify board revision before purchase,One of the more interesting Auzentech cards.
Auzentech,X-Fi HomeTheater HD,HomeTheater HD|XFi HTHD|Auzen HTHD,PCIe sound card,High-grade DAC/ADC; swappable op-amps; HDMI audio interface; Creative DSP,standalone DAC|ADC|op-amp|DSP,probable,80,80,driver issue; HDMI software issue; cosmetic damage,no analogue output; missing op-amps; corrosion,hard,Complex multilayer board; harvest only if cheap.,Manufacturer manual/service documentation; verify board revision before purchase,"Rare, but worthwhile to recognise."
Creative,SB1270,Sound Blaster X-Fi Titanium HD|X-Fi Titanium HD|XFi Titanium HD|X Fi Titanium HD,PCIe sound card,Texas Instruments/Burr-Brown PCM1794 DAC; Creative CA20K2 DSP; ADC; socketed op-amps on some revisions,standalone DAC|ADC|op-amp|DSP,confirmed,95,120,driver issue; untested; noisy output; missing box,burnt board; missing op-amps; missing main PCB; water damage,medium,Good donor but SMD DAC; avoid stripped cards,TweakTown and The Retro Web identify PCM1794 DAC; bit-tech identifies PCM1794A/CA20K2,Usually also desirable intact; do not overpay for a working card.
Creative,Sound Blaster X-Fi Titanium Fatal1ty SB0880,SB0880|X-Fi Titanium Fatal1ty,PCIe sound card,Multichannel DAC/codec; ADC; audio op-amps; CA20K2 DSP,combined codec|ADC|op-amp|DSP,probable,60,35,driver issue; untested; cosmetic damage,no sound; water damage; parts removed,medium,Less desirable than Titanium HD; confirm converter markings.,Manufacturer manual/service documentation; verify board revision before purchase,Useful only at low cost.
HT Omega,eClaro,eClaro PCIe|HT Omega eClaro,PCIe sound card,High-performance stereo/multichannel DAC; socketed op-amps; headphone amplifier,standalone DAC|op-amp|headphone amplifier|DSP,probable,76,70,driver issue; untested; cosmetic damage,no audio; missing op-amps; burnt power stage,hard,Check board photos for population and revision.,Manufacturer manual/service documentation; verify board revision before purchase,A less common but useful search target.
Onkyo,Wavio SE-300PCIE,SE300PCIE|SE-300 PCIe|Wavio 300,PCIe sound card,High-performance stereo DAC; swappable op-amps; headphone amplifier; local regulators,standalone DAC|op-amp|headphone amplifier,probable,88,120,driver issue; untested; missing accessories,no audio; missing op-amps; damaged power section,hard,Dense multilayer board; board-level reuse may be preferable.,Manufacturer manual/service documentation; verify board revision before purchase,Rare UK listing but worth monitoring.
Audiolab,8000C,8000 C|Audiolab preamp,preamplifier,op-amps; volume pot; selector switches; PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,70,90,scratchy controls; selector fault; missing knobs,burnt board; water damage; missing PCB,medium,Mostly through-hole/older SMD,Common preamp; exact ICs verify,Repair candidate.
Musical Fidelity,X-Pre,X Pre|X-PRE,preamplifier,op-amps; volume pot; PSU parts,op-amp|volume-control IC,probable,62,60,scratchy pot; missing PSU; input fault,burnt board; water damage; no output,medium,Small case; external PSU,Musical Fidelity preamp class; exact IC verify,Often collectible.
NAD,1000,NAD 1000 preamp,preamplifier,op-amps; phono stage parts; pots/switches; PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,58,50,scratchy controls; missing knobs; phono fault,burnt board; water damage,medium,Older through-hole parts likely,Common NAD preamp; exact ICs verify,Buy cheaply.
Quad,34,Quad 34 preamp,preamplifier,op-amps; switchgear; volume/balance controls; PSU parts,op-amp|volume-control IC|transformer or mechanical salvage,probable,70,90,scratchy controls; DIN socket damage; missing case parts,burnt board; water damage; missing modules,medium,Through-hole friendly; DIN hardware useful,Classic Quad preamp; exact op-amps vary/verify,Usually worth repair.
Quad,44,Quad 44 preamp,preamplifier,op-amps; plug-in input modules; switchgear; PSU parts,op-amp|volume-control IC|transformer or mechanical salvage,probable,76,120,scratchy controls; missing knob; module fault,burnt PSU; water damage; missing modules,medium,Modules valuable; avoid stripping complete units,Classic Quad modular preamp; exact ICs verify,Often worth more intact.
Rotel,RC-970BX,RC970BX,preamplifier,op-amps; phono stage parts; selector switches; PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,62,60,scratchy controls; phono fault; missing knobs,burnt board; water damage; missing PCB,medium,Good small-signal donor,Rotel preamp class; exact ICs verify,Cheap donor.
Alesis,AI-3,AI3 ADAT,professional rack audio equipment,eight-channel ADC/DAC; ADAT interface; op-amps,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,72,60,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Alesis,MasterLink ML-9600,ML9600|Masterlink,professional rack audio equipment,high-quality ADC/DAC; CD recorder; hard-drive interface; balanced stages,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,84,90,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Alesis,MicroVerb 4,Microverb IV|Micro Verb 4,professional rack audio equipment,ADC/DAC; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,42,30,missing PSU; display/LED fault; noisy output,burnt board; water damage; no audio,easy,Low-value compact SMD donor,Common effects box; exact ICs verify,Cheap only.
Aphex,Compellor 320A,320A Compellor,professional rack audio equipment,VCA/dynamics ICs probable; op-amps; balanced line drivers; PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,70,100,meter fault; noisy pot; missing knobs,burnt PSU; water damage; no audio,medium,Specialist dynamics ICs; verify markings,Pro dynamics unit; exact ICs require internal photo,May be worth intact.
Apogee,AD-8000,AD8000,professional rack audio equipment,eight-channel premium ADC; optional DAC cards; clocking; balanced stages,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,92,180,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Apogee,Rosetta 200,Rosetta200,professional rack audio equipment,premium stereo ADC/DAC; clocking; balanced line stages,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,94,180,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Apogee,Rosetta 800,Rosetta800,professional rack audio equipment,eight-channel premium ADC/DAC; clocking; balanced line stages,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,97,250,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Behringer,DCX2496,Ultradrive Pro DCX2496|DCX 2496,professional rack audio equipment,multiple DAC outputs; ADC input; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,72,85,display fault; output channel fault; missing rack ears,burnt PSU; water damage; no boot,medium,Many analogue outputs; SMD removal,Common digital crossover; exact chips vary,Useful op-amp/output donor.
Behringer,DCX2496 Ultradrive Pro,DCX2496|Ultradrive,professional rack audio equipment,six-channel DAC; stereo ADC; DSP; balanced line drivers,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,75,60,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Behringer,DEQ2496,Ultracurve Pro DEQ2496|DEQ 2496,professional rack audio equipment,ADC/DAC; DSP; display/encoder; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,70,80,display fault; encoder fault; noisy fan/PSU,burnt PSU; no audio; water damage,medium,DSP/display parts; mains caution,Common rack EQ; exact converter chips verify,Often cheap faulty.
Behringer,DEQ2496 Ultracurve Pro,DEQ2496|Ultracurve,professional rack audio equipment,AKM-class ADC/DAC; DSP; balanced line drivers; switching PSU parts,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,72,55,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Behringer,SRC2496,Ultramatch Pro SRC2496|SRC 2496,professional rack audio equipment,AKM/Cirrus converter ICs probable; sample-rate converter; op-amps; transformer/PSU,ADC|standalone DAC|DSP|op-amp,probable,68,70,display fault; noisy output; missing rack ears,burnt PSU; water damage; no audio both directions,medium,Rack unit; mains safety; many SMD parts,Common pro converter; exact ICs vary by revision,Cheap useful lab donor.
Behringer,SRC2496 Ultramatch Pro,SRC2496|Ultramatch,professional rack audio equipment,sample-rate converter; ADC/DAC; AES/S/PDIF interface; balanced stages,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,78,65,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
dbx,DriveRack PA,DriveRackPA|Driverack PA,professional rack audio equipment,ADC/DAC; DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,62,70,display fault; encoder fault; missing rack ears,burnt PSU; water damage; no audio,medium,Rack unit; SMD converters,Common PA processor; exact chips vary,Good donor if display faulty.
Drawmer,DL241,DL 241,professional rack audio equipment,VCA/dynamics ICs probable; op-amps; transformer/PSU,op-amp|volume-control IC|transformer or mechanical salvage,probable,68,90,meter fault; noisy controls; missing knobs,burnt PSU; water damage; no audio,medium,Analogue rack; through-hole likely in older units,Common Drawmer compressor; exact ICs verify,Repair candidate.
Focusrite,OctoPre MkII Dynamic,Octopre Dynamic|OctoPre Mk2,professional rack audio equipment,eight ADC channels; mic preamps; compressors; ADAT interface,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,76,80,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Fostex,VC-8,VC8 ADAT converter,professional rack audio equipment,eight-channel ADC/DAC; ADAT interface; balanced/unbalanced stages,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,70,55,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Lavry,DA10,Lavry DA-10,professional rack audio equipment,premium stereo DAC; balanced output stage; headphone amplifier,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,92,170,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Lexicon,MPX 100,MPX100,professional rack audio equipment,ADC/DAC; Lexicon DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,58,50,display fault; encoder fault; missing PSU,burnt board; water damage; no audio,medium,External PSU on some units; SMD DSP,Common rack FX; exact converters verify,Cheap DSP donor.
Lexicon,MPX 500,MPX500,professional rack audio equipment,ADC/DAC; Lexicon DSP; op-amps; PSU,ADC|standalone DAC|DSP|op-amp,probable,68,80,display fault; encoder fault; noisy output,burnt PSU; water damage; no audio,medium,Rack unit; many SMD parts,Common Lexicon rack; exact ICs verify,May be useful intact.
Lucid,ADA8824,Lucid ADA 8824,professional rack audio equipment,eight-channel ADC/DAC; balanced line drivers; clocking,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,88,120,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Lucid,DA9624,Lucid DA 9624,professional rack audio equipment,stereo DAC; balanced output stages; AES/S/PDIF receiver,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,82,90,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Mytek,Stereo96 DAC,Mytek Stereo 96|Stereo96,professional rack audio equipment,professional stereo DAC; balanced line stages; AES interface,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,88,130,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
Rane,DEQ 60L,DEQ60L|Rane DEQ60,professional rack audio equipment,op-amps; balanced line drivers; PSU; sliders,op-amp|transformer or mechanical salvage,probable,58,60,scratchy sliders; display/LED fault; missing rack ears,burnt PSU; water damage; no audio,medium,Lots of analogue op-amps and sliders,Analogue EQ architecture; exact ICs verify,Mechanical parts useful.
RME,ADI-2,RME ADI2 original,professional rack audio equipment,stereo ADC/DAC; balanced stages; clocking; digital interface,ADC|standalone DAC|op-amp|DSP|balanced line driver|digital audio interface,probable,88,130,display fault; digital input fault; obsolete interface; cosmetic damage,no analogue I/O; phantom-power damage; liquid damage; missing converter cards,hard,Rack gear often uses modular analogue boards; preserve calibration trimmers and matched networks.,https://www.soundonsound.com/,Some units are worth much more intact; use donor pricing conservatively.
